Date,HUR1,HUR2,HUR3,HUR4,MTB1,MTB2,MTB3,MTB4,WAP1,WAP2,WAP3,WAP4,STV1,STV2,STV3,STV4,SNO1,SNO2,SNO3,SNO4,LVN1,LVN2,LVN3,LVN4,MIS1,MIS2,MIS3,MIS4,CMT1,CMT2,CMT3,CMT4,PAR1,PAR2,PAR3,PAR4,WHP1,WHP2,WHP3,WHP4,TML1,TML2,TML3,TML4,MHM1,MHM2,MHM3,MHM4
12/30/2019,0.75,0.36,0.21,0.57,1.83,0.58,0.13,0.71,0.53,0.63,0.19,0.82,2.54,0.70,0.89,1.59,2.54,1.19,0.51,1.70,nan,,,0.00,0.25,0.14,0.47,0.61,0.83,0.06,0.38,0.44,1.32,0.57,0.72,1.29,0.89,0.53,0.81,1.34,3.10,1.10,1.91,3.01,2.57,1.21,1.58,2.79
12/31/2019,0.06,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.13,0.03,0.00,0.03,0.20,0.32,0.01,0.33,0.45,0.51,0.00,0.51,nan,,,0.00,0.02,0.03,0.00,0.03,0.54,0.25,0.01,0.26,0.39,0.30,0.00,0.30,0.13,0.08,0.00,0.08,1.41,0.77,0.00,0.77,0.75,0.81,0.08,0.89
1/1/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/2/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/3/2019,0.60,0.02,0.27,0.29,1.41,0.03,1.26,1.29,0.25,0.00,0.40,0.40,0.54,0.00,0.22,0.22,0.42,0.00,0.11,0.11,nan,,,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.40,0.00,0.02,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
1/4/2019,1.51,0.85,0.30,1.15,4.14,2.24,2.60,4.84,0.72,1.31,0.84,2.15,1.86,1.10,0.36,1.46,1.84,1.40,0.21,1.61,nan,,,0.00,0.27,0.03,0.04,0.07,0.50,0.42,0.42,0.84,1.69,0.89,0.59,1.48,0.47,0.23,0.24,0.47,0.24,0.02,0.02,0.04,0.22,0.02,0.02,0.04
1/5/2019,0.50,0.02,0.04,0.06,1.07,1.47,0.07,1.54,0.10,0.19,0.05,0.24,0.21,0.08,0.01,0.09,0.01,0.04,0.00,0.04,nan,,,0.00,0.04,0.03,0.02,0.05,0.00,0.17,0.01,0.18,0.15,0.29,0.00,0.29,0.05,0.03,0.00,0.03,0.39,0.36,0.00,0.36,0.29,0.34,0.00,0.34
1/6/2019,0.35,0.09,0.38,0.47,0.43,0.00,0.79,0.79,0.13,0.00,0.27,0.27,0.13,0.00,0.24,0.24,0.08,0.00,0.23,0.23,nan,,,0.00,0.01,0.00,0.33,0.33,0.15,0.06,0.53,0.59,0.31,0.08,0.86,0.94,0.25,0.02,0.48,0.50,0.15,0.02,0.92,0.94,0.17,0.02,0.84,0.86
1/7/2019,0.57,0.73,0.22,0.95,0.87,1.18,0.78,1.96,0.22,0.46,0.16,0.62,0.42,0.49,0.34,0.83,0.76,0.26,0.24,0.50,nan,,,0.00,0.01,0.15,0.05,0.20,0.36,0.09,0.16,0.25,0.90,0.28,0.53,0.81,0.51,0.24,0.63,0.87,0.89,0.27,0.25,0.52,0.77,0.32,0.27,0.59
1/8/2019,0.14,0.23,0.00,0.23,0.28,0.09,0.00,0.09,0.04,0.06,0.00,0.06,0.15,0.30,0.00,0.30,0.26,0.14,0.00,0.14,nan,,,0.00,0.00,0.04,0.00,0.04,0.10,0.09,0.00,0.09,0.20,0.11,0.00,0.11,0.23,0.28,0.00,0.28,0.21,0.75,0.01,0.76,0.15,0.70,0.01,0.71
