Date,HUR-OBS,HUR-FCST,MTB-OBS,MTB-FCST,WAP-OBS,WAP-FCST,STV-OBS,STV-FCST,SNO-OBS,SNO-FCST,LVN-OBS,LVN-FCST,MIS-OBS,MIS-FCST,CMT-OBS,CMT-FCST,PAR-OBS,PAR-FCST,WHP-OBS,WHP-FCST,TML-OBS,TML-FCST,MHM-OBS,MHM-FCST
1/27/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/28/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/29/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/30/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/31/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/1/2019,0.17,0.05,0.72,0.94,0.04,0.17,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
2/2/2019,0.35,0.14,2.54,2.64,0.26,0.75,0.80,0.62,1.23,0.45,0.00,0.09,0.02,0.07,0.78,1.35,0.78,0.95,0.32,0.43,0.30,0.43,0.19,0.39
2/3/2019,0.01,0.00,0.26,0.08,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.01,0.00,0.06,0.01,0.25,0.41,0.17,0.30
2/4/2019,0.03,0.06,0.42,0.45,0.02,0.13,0.00,0.12,0.06,0.15,0.07,0.10,0.10,0.13,0.19,0.15,0.22,0.13,0.12,0.16,0.36,0.33,0.27,0.28
2/5/2019,0.01,0.09,0.01,0.00,0.04,0.06,0.05,0.02,0.12,0.16,0.05,0.17,0.26,0.36,0.14,0.23,0.19,0.19,0.24,0.31,0.30,0.39,0.14,0.29
2/6/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.15,0.00,0.04,0.00
2/7/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/8/2019,0.00,0.03,0.00,0.12,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/9/2019,0.42,0.46,0.10,0.02,0.18,0.23,0.41,0.25,0.52,0.36,0.25,0.27,0.19,0.28,0.16,0.46,0.76,0.58,0.13,0.30,0.51,0.80,0.33,0.74
2/10/2019,0.05,0.23,0.00,0.01,0.17,0.15,0.01,0.07,0.15,0.02,0.15,0.19,0.26,0.95,0.02,0.20,0.17,0.15,0.02,0.62,0.44,0.37,0.28,0.36
2/11/2019,0.41,0.33,0.24,0.22,0.06,0.10,0.55,0.43,0.51,0.44,0.24,0.14,0.29,0.23,0.41,0.31,0.51,0.60,nan,0.51,0.75,1.12,1.26,1.10
2/12/2019,0.45,0.49,0.75,0.77,0.44,0.44,1.24,0.97,1.93,1.19,0.82,0.65,0.41,0.83,1.09,1.38,1.79,1.90,0.50,1.59,1.50,3.01,1.75,2.94
2/13/2019,0.64,0.35,0.85,0.86,0.81,0.68,0.50,0.70,0.89,0.88,0.24,0.08,0.71,0.54,1.23,0.43,1.32,0.95,0.78,0.97,1.21,2.04,1.08,1.90
2/14/2019,0.29,0.01,0.35,0.01,0.04,0.05,0.08,0.20,0.26,0.09,0.05,0.00,0.05,0.02,0.00,0.00,0.00,0.00,0.32,0.10,0.17,0.13,0.08,0.12
2/15/2019,0.34,0.15,0.45,0.70,0.16,0.19,0.11,0.14,0.15,0.13,0.26,0.19,0.24,0.28,0.32,0.45,0.34,0.47,0.28,0.26,0.78,0.37,0.53,0.37
2/16/2019,0.04,0.15,0.29,0.56,0.02,0.13,0.10,0.27,0.10,0.12,0.00,0.06,0.01,0.18,0.06,0.17,0.23,0.21,0.04,0.26,0.30,0.53,0.20,0.49
2/17/2019,0.11,0.38,0.00,0.11,0.02,0.01,0.03,0.46,0.12,0.32,0.00,0.06,0.00,0.08,0.22,0.35,0.24,0.30,0.04,0.20,0.82,1.24,0.48,0.94
2/18/2019,0.18,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.05,0.13,0.00,0.01,0.11,0.01,0.02,0.08,0.02,0.00,0.02,0.00
2/19/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/20/2019,0.31,0.42,0.34,0.80,0.05,0.25,0.30,0.93,0.69,0.97,0.00,0.03,0.00,0.09,0.52,0.59,1.22,1.11,0.35,0.72,1.42,1.53,0.95,1.37
2/21/2019,0.10,0.00,0.00,0.00,0.00,0.03,0.04,0.47,0.00,0.04,0.00,0.00,0.00,0.06,0.17,0.16,0.59,0.07,0.24,0.18,0.80,0.45,0.36,0.30
2/22/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/23/2019,0.30,0.33,0.36,0.65,0.21,0.35,0.52,0.55,0.57,0.80,0.11,0.17,0.09,0.29,0.24,0.28,0.58,0.77,0.25,0.54,0.94,1.21,0.69,1.15
2/24/2019,0.05,0.19,0.02,0.00,0.02,0.02,0.07,0.09,0.17,0.28,0.11,0.33,0.08,0.21,0.06,0.12,0.15,0.33,0.21,0.16,0.68,1.09,0.65,1.08
2/25/2019,0.18,0.01,0.00,0.00,0.05,0.03,0.00,0.02,0.01,0.04,0.12,0.18,0.17,0.31,0.01,0.12,0.10,0.37,0.15,0.22,0.90,0.40,0.69,0.44
2/26/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.16,0.01,0.12,0.01,0.14,0.11,0.27,0.24,0.43,0.28,0.56
2/27/2019,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.04,0.01,0.03,0.07,0.16,0.03,0.17
2/28/2019,0.01,0.03,0.12,0.19,0.12,0.03,0.14,0.00,0.15,0.00,0.11,0.00,0.21,0.04,0.02,0.13,0.01,0.06,0.15,0.04,0.11,0.12,0.09,0.13
3/1/2019,0.00,0.00,0.00,0.22,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.09,0.09,0.07,0.09
3/2/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.00
3/3/2019,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/4/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/5/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/6/2019,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.25,0.01,0.25
3/7/2019,0.00,0.00,0.52,0.52,0.15,0.25,0.15,0.20,0.16,0.17,0.32,0.22,0.21,0.35,0.32,0.34,0.51,0.40,0.18,0.44,0.50,0.60,0.27,0.55
3/8/2019,0.21,0.55,0.32,0.14,0.01,0.13,0.17,0.61,0.26,0.81,0.00,0.02,0.01,0.07,0.27,0.20,0.30,0.71,0.27,0.31,0.46,0.94,0.31,0.89
3/9/2019,0.01,0.02,0.03,0.03,0.00,0.04,0.00,0.03,0.01,0.00,0.00,0.03,0.00,0.07,0.16,0.27,0.21,0.39,0.06,0.14,0.63,0.48,0.41,0.33
3/10/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/11/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/12/2019,0.23,0.52,0.53,0.31,0.12,0.63,0.32,0.80,0.60,0.76,0.01,0.07,0.02,0.08,0.07,0.31,0.68,0.97,0.26,0.55,0.22,0.57,0.20,0.54
3/13/2019,0.06,0.00,0.21,0.10,0.11,0.19,0.21,0.81,0.29,0.64,0.01,0.01,0.01,0.02,0.58,0.72,1.28,1.50,0.46,1.28,1.65,1.49,1.19,1.32
3/14/2019,0.00,0.00,0.00,0.12,0.01,0.00,0.00,0.04,0.11,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.27,0.01,0.08,0.01,0.38,0.05,0.14,0.00
3/15/2019,0.01,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/16/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/17/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/18/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/19/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/20/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/21/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/22/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/23/2019,0.01,0.01,0.22,0.75,0.01,0.01,0.01,0.10,0.02,0.08,0.00,0.00,0.00,0.00,0.03,0.07,0.06,0.28,0.02,0.10,0.19,0.30,0.10,0.27
3/24/2019,0.02,0.00,0.03,0.00,0.03,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.09,0.21,0.00,0.13
3/25/2019,0.00,0.00,0.02,0.04,0.28,0.10,0.19,0.20,0.00,0.12,0.22,0.13,0.38,0.45,0.24,0.20,0.10,0.17,0.08,0.09,0.02,0.03,0.00,0.00
3/26/2019,0.24,0.20,0.46,0.94,0.24,0.28,0.27,0.28,0.32,0.18,0.17,0.01,0.18,0.23,0.31,0.44,0.43,0.61,0.24,0.46,0.30,0.53,0.23,0.45
3/27/2019,0.05,0.10,0.40,0.24,0.04,0.02,0.04,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
3/28/2019,0.00,0.01,0.00,0.07,0.00,0.02,0.00,0.07,0.00,0.04,0.00,0.28,0.00,0.62,0.00,0.16,0.02,0.29,0.00,0.17,0.27,0.43,0.21,0.46
3/29/2019,0.00,0.00,0.00,0.00,0.00,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.08,0.03,0.01,0.02,0.18,0.00,0.07,0.03,0.06
